 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> febreiro 07, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\24Mg_Au.txt

 Ion = Magnesium [12] , Mass = 23,985 amu

 Target Density =  1,9311E+01 g/cm3 = 5,9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    2,320E+01  1,601E+02      13 A        25 A        18 A   
   1,10 keV   2,433E+01  1,666E+02      14 A        26 A        19 A   
   1,20 keV   2,541E+01  1,727E+02      15 A        27 A        20 A   
   1,30 keV   2,645E+01  1,783E+02      15 A        28 A        20 A   
   1,40 keV   2,745E+01  1,837E+02      16 A        29 A        21 A   
   1,50 keV   2,841E+01  1,887E+02      17 A        30 A        22 A   
   1,60 keV   2,934E+01  1,935E+02      18 A        31 A        23 A   
   1,70 keV   3,025E+01  1,980E+02      18 A        32 A        24 A   
   1,80 keV   3,112E+01  2,023E+02      19 A        33 A        24 A   
   2,00 keV   3,281E+01  2,104E+02      20 A        35 A        26 A   
   2,25 keV   3,480E+01  2,195E+02      22 A        38 A        27 A   
   2,50 keV   3,668E+01  2,278E+02      23 A        40 A        29 A   
   2,75 keV   3,847E+01  2,354E+02      25 A        42 A        31 A   
   3,00 keV   4,018E+01  2,423E+02      26 A        44 A        32 A   
   3,25 keV   4,182E+01  2,488E+02      27 A        46 A        34 A   
   3,50 keV   4,340E+01  2,548E+02      29 A        48 A        35 A   
   3,75 keV   4,492E+01  2,603E+02      30 A        50 A        37 A   
   4,00 keV   4,639E+01  2,656E+02      31 A        52 A        38 A   
   4,50 keV   4,921E+01  2,751E+02      34 A        56 A        41 A   
   5,00 keV   5,187E+01  2,836E+02      37 A        60 A        44 A   
