
 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_sfotls_modt_m0p.wav=O19_sfotls_modt_m1p.wav + n



         n  l 2j 2tz

orbit :   0  2  3  1    n 0d_3/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -149.911 3(   2) -138.671  11.240    0.0513
 0(   1) -149.911 3(   7) -135.127  14.784    0.0059
 0(   1) -149.911 3(  10) -132.960  16.951    0.1250
 0(   1) -149.911 3(  13) -131.266  18.646    0.0001
 0(   1) -149.911 3(  17) -130.252  19.659    0.0209
 0(   1) -149.911 3(  21) -129.178  20.733    0.0005
 0(   1) -149.911 3(  23) -128.951  20.960    0.0000
 0(   1) -149.911 3(  28) -128.200  21.712    0.0000
 0(   1) -149.911 3(  34) -127.591  22.320    0.0000
 0(   1) -149.911 3(  36) -127.565  22.347    0.0005
 0(   1) -149.911 3(  38) -127.245  22.666    0.0003
 0(   1) -149.911 3(  44) -126.639  23.272    0.0011
 0(   1) -149.911 3(  45) -126.668  23.243    0.0006
 0(   1) -149.911 3(  54) -125.840  24.071    0.0003
 0(   1) -149.911 3(  55) -125.693  24.218    0.0004
 0(   1) -149.911 3(  61) -125.535  24.377    0.0001
 0(   1) -149.911 3(  64) -125.336  24.576    0.0003
 0(   1) -149.911 3(  72) -124.915  24.996    0.0006
 0(   1) -149.911 3(  75) -124.772  25.139    0.0000
 0(   1) -149.911 3(  78) -124.705  25.206    0.0001
 0(   1) -149.911 3(  83) -124.480  25.431    0.0000
 0(   1) -149.911 3(  86) -124.377  25.535    0.0002
 0(   1) -149.911 3(  91) -124.262  25.649    0.0000
 0(   1) -149.911 3(  98) -124.099  25.812    0.0002
 0(   1) -149.911 3(  99) -124.081  25.830    0.0007
 0(   1) -149.911 3( 106) -123.919  25.993    0.0000
 0(   1) -149.911 3( 112) -123.660  26.252    0.0003
 0(   1) -149.911 3( 118) -123.576  26.335    0.0000
 0(   1) -149.911 3( 122) -123.384  26.527    0.0000
 0(   1) -149.911 3( 129) -123.244  26.667    0.0000
 0(   1) -149.911 3( 134) -123.141  26.770    0.0000
 0(   1) -149.911 3( 136) -123.080  26.831    0.0002
 0(   1) -149.911 3( 151) -122.769  27.142    0.0000
 0(   1) -149.911 3( 155) -122.672  27.239    0.0001
 0(   1) -149.911 3( 164) -122.466  27.445    0.0000
 0(   1) -149.911 3( 168) -122.356  27.556    0.0002
 0(   1) -149.911 3( 170) -122.307  27.604    0.0001
 0(   1) -149.911 3( 182) -122.187  27.724    0.0001
 0(   1) -149.911 3( 184) -122.146  27.766    0.0001
 0(   1) -149.911 3( 187) -122.079  27.832    0.0000
 0(   1) -149.911 3( 200) -121.853  28.058    0.0000
 0(   1) -149.911 3( 208) -121.742  28.170    0.0001
 0(   1) -149.911 3( 210) -121.659  28.252    0.0001
 0(   1) -149.911 3( 211) -121.671  28.241    0.0006
 0(   1) -149.911 3( 216) -121.608  28.303    0.0000
 0(   1) -149.911 3( 219) -121.591  28.320    0.0002
 0(   1) -149.911 3( 224) -121.453  28.458    0.0000
 0(   1) -149.911 3( 229) -121.364  28.547    0.0001
 0(   1) -149.911 3( 231) -121.283  28.629    0.0001
 0(   1) -149.911 3( 242) -121.142  28.769    0.0001
 0(   1) -149.911 3( 246) -121.080  28.832    0.0002
 0(   1) -149.911 3( 258) -120.962  28.949    0.0003
 0(   1) -149.911 3( 261) -120.897  29.014    0.0005
 0(   1) -149.911 3( 266) -120.801  29.111    0.0001
 0(   1) -149.911 3( 271) -120.736  29.176    0.0002
 0(   1) -149.911 3( 280) -120.670  29.241    0.0000
 0(   1) -149.911 3( 285) -120.608  29.303    0.0002
 0(   1) -149.911 3( 294) -120.498  29.413    0.0000
 0(   1) -149.911 3( 299) -120.458  29.453    0.0007
 0(   1) -149.911 3( 306) -120.388  29.523    0.0002
 0(   1) -149.911 3( 310) -120.331  29.581    0.0003
 0(   1) -149.911 3( 319) -120.228  29.684    0.0000
 0(   1) -149.911 3( 324) -120.147  29.764    0.0003
 0(   1) -149.911 3( 325) -120.126  29.786    0.0000
 0(   1) -149.911 3( 327) -120.163  29.749    0.0001
 0(   1) -149.911 3( 341) -119.957  29.955    0.0000
 0(   1) -149.911 3( 344) -119.914  29.998    0.0000
 0(   1) -149.911 3( 353) -119.838  30.074    0.0000
 0(   1) -149.911 3( 358) -119.805  30.106    0.0000
 0(   1) -149.911 3( 364) -119.729  30.183    0.0001
 0(   1) -149.911 3( 369) -119.671  30.241    0.0004
 0(   1) -149.911 3( 381) -119.560  30.352    0.0000
 0(   1) -149.911 3( 392) -119.469  30.442    0.0000
 0(   1) -149.911 3( 393) -119.465  30.446    0.0002
 0(   1) -149.911 3( 398) -119.408  30.504    0.0005
 0(   1) -149.911 3( 403) -119.370  30.541    0.0000
 0(   1) -149.911 3( 408) -119.301  30.610    0.0000
 0(   1) -149.911 3( 415) -119.235  30.676    0.0000
 0(   1) -149.911 3( 420) -119.205  30.706    0.0000
 0(   1) -149.911 3( 431) -119.100  30.812    0.0000
 0(   1) -149.911 3( 435) -119.074  30.838    0.0009
 0(   1) -149.911 3( 440) -119.040  30.872    0.0000
