

 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_sfotls_modtsp3015_m0p.wav=O19_sfotls_modtsp3015_m1n.wav + n



         n  l 2j 2tz

orbit :   0  1  1  1    n 0p_1/2

 S-factor parity  1 -1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -138.125 1(   1) -123.747  14.378    0.7929
 0(   1) -138.125 1(   7) -121.720  16.404    0.1814
 0(   1) -138.125 1(  12) -121.024  17.100    0.0482
 0(   1) -138.125 1(  22) -119.955  18.170    0.0319
 0(   1) -138.125 1(  24) -119.800  18.325    0.0133
 0(   1) -138.125 1(  34) -119.216  18.908    0.0001
 0(   1) -138.125 1(  41) -118.679  19.446    0.0013
 0(   1) -138.125 1(  48) -118.045  20.079    0.0450
 0(   1) -138.125 1(  49) -117.974  20.150    0.0093
 0(   1) -138.125 1(  73) -116.947  21.178    0.0473
 0(   1) -138.125 1(  78) -116.789  21.336    0.0029
 0(   1) -138.125 1(  96) -116.196  21.929    0.0019
 0(   1) -138.125 1(  98) -116.125  21.999    0.0065
 0(   1) -138.125 1( 108) -115.634  22.491    0.0000
 0(   1) -138.125 1( 123) -115.174  22.951    0.0013
 0(   1) -138.125 1( 128) -115.043  23.082    0.0006
 0(   1) -138.125 1( 139) -114.732  23.393    0.0004
 0(   1) -138.125 1( 146) -114.676  23.449    0.0000
 0(   1) -138.125 1( 157) -114.400  23.724    0.0028
 0(   1) -138.125 1( 168) -114.237  23.888    0.0022
 0(   1) -138.125 1( 174) -114.023  24.102    0.0037
 0(   1) -138.125 1( 182) -113.944  24.180    0.0008
 0(   1) -138.125 1( 191) -113.796  24.329    0.0041
 0(   1) -138.125 1( 196) -113.686  24.439    0.0035
 0(   1) -138.125 1( 207) -113.503  24.622    0.0029
 0(   1) -138.125 1( 211) -113.330  24.795    0.0008
 0(   1) -138.125 1( 228) -113.112  25.013    0.0075
 0(   1) -138.125 1( 231) -113.083  25.041    0.0005
 0(   1) -138.125 1( 243) -112.867  25.257    0.0021
 0(   1) -138.125 1( 245) -112.792  25.333    0.0056
 0(   1) -138.125 1( 260) -112.604  25.521    0.0013
 0(   1) -138.125 1( 268) -112.562  25.562    0.0087
 0(   1) -138.125 1( 270) -112.575  25.549    0.3157
 0(   1) -138.125 1( 280) -112.355  25.769    0.0007
 0(   1) -138.125 1( 288) -112.236  25.888    0.0002
 0(   1) -138.125 1( 299) -112.076  26.049    0.0021
 0(   1) -138.125 1( 307) -112.034  26.091    0.0030
 0(   1) -138.125 1( 314) -111.881  26.244    0.0010
 0(   1) -138.125 1( 322) -111.838  26.286    0.0017
 0(   1) -138.125 1( 338) -111.602  26.522    0.0000
 0(   1) -138.125 1( 350) -111.466  26.659    0.0014
 0(   1) -138.125 1( 366) -111.231  26.894    0.0002
 0(   1) -138.125 1( 372) -111.163  26.961    0.0026
 0(   1) -138.125 1( 376) -111.134  26.991    0.0044
 0(   1) -138.125 1( 393) -111.014  27.110    0.0198
 0(   1) -138.125 1( 405) -110.831  27.294    0.0026
 0(   1) -138.125 1( 413) -110.836  27.288    0.0039
 0(   1) -138.125 1( 420) -110.676  27.448    0.0029
 0(   1) -138.125 1( 436) -110.572  27.552    0.0035
 0(   1) -138.125 1( 446) -110.457  27.668    0.0058
 0(   1) -138.125 1( 454) -110.381  27.743    0.0202
 0(   1) -138.125 1( 461) -110.302  27.822    0.0026
 0(   1) -138.125 1( 475) -110.218  27.906    0.0045
 0(   1) -138.125 1( 482) -110.147  27.978    0.0010
 0(   1) -138.125 1( 493) -110.058  28.067    0.0110
 0(   1) -138.125 1( 500) -109.932  28.193    0.0017
 0(   1) -138.125 1( 508) -109.931  28.193    0.0039
 0(   1) -138.125 1( 511) -109.833  28.291    0.0040
 0(   1) -138.125 1( 523) -109.725  28.399    0.0014
 0(   1) -138.125 1( 537) -109.644  28.480    0.0018
 0(   1) -138.125 1( 550) -109.532  28.592    0.0002
 0(   1) -138.125 1( 557) -109.471  28.654    0.0253
 0(   1) -138.125 1( 560) -109.529  28.596    0.0011
 0(   1) -138.125 1( 582) -109.240  28.885    0.0009
 0(   1) -138.125 1( 590) -109.186  28.939    0.0011
 0(   1) -138.125 1( 595) -109.188  28.937    0.0080
 0(   1) -138.125 1( 601) -109.092  29.033    0.0025
 0(   1) -138.125 1( 614) -109.032  29.093    0.0016
 0(   1) -138.125 1( 626) -108.933  29.191    0.0020
 0(   1) -138.125 1( 638) -108.837  29.288    0.0004
 0(   1) -138.125 1( 659) -108.742  29.382    0.0025


         n  l 2j 2tz

orbit :   0  1  3  1    n 0p_3/2

 S-factor parity  1 -1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -138.125 3(   3) -122.835  15.290    0.0117
 0(   1) -138.125 3(   9) -121.432  16.693    0.0689
 0(   1) -138.125 3(  11) -121.062  17.063    0.0496
 0(   1) -138.125 3(  13) -120.990  17.134    0.1205
 0(   1) -138.125 3(  19) -120.382  17.743    0.0758
 0(   1) -138.125 3(  23) -119.979  18.146    0.1621
 0(   1) -138.125 3(  26) -119.702  18.423    0.0290
 0(   1) -138.125 3(  30) -119.291  18.833    0.0415
