
 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_sfotls_modtsp3015_m0p.wav=O19_sfotls_modtsp3015_m1p.wav + n



         n  l 2j 2tz

orbit :   0  2  3  1    n 0d_3/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -138.125 3(   2) -126.915  11.210    0.0524
 0(   1) -138.125 3(   7) -123.400  14.724    0.0063
 0(   1) -138.125 3(  10) -121.237  16.887    0.1230
 0(   1) -138.125 3(  11) -120.017  18.107    0.0000
 0(   1) -138.125 3(  18) -118.526  19.598    0.0215
 0(   1) -138.125 3(  20) -117.942  20.182    0.0005
 0(   1) -138.125 3(  22) -117.431  20.694    0.0001
 0(   1) -138.125 3(  26) -117.059  21.066    0.0000
 0(   1) -138.125 3(  33) -116.393  21.731    0.0001
 0(   1) -138.125 3(  35) -116.054  22.071    0.0013
 0(   1) -138.125 3(  40) -115.942  22.183    0.0002
 0(   1) -138.125 3(  44) -115.361  22.764    0.0015
 0(   1) -138.125 3(  50) -115.060  23.065    0.0000
 0(   1) -138.125 3(  52) -114.790  23.335    0.0008
 0(   1) -138.125 3(  54) -114.672  23.452    0.0007
 0(   1) -138.125 3(  59) -114.461  23.663    0.0000
 0(   1) -138.125 3(  67) -114.067  24.057    0.0001
 0(   1) -138.125 3(  71) -113.931  24.194    0.0010
 0(   1) -138.125 3(  75) -113.753  24.372    0.0000
 0(   1) -138.125 3(  76) -113.677  24.448    0.0002
 0(   1) -138.125 3(  84) -113.368  24.756    0.0000
 0(   1) -138.125 3(  86) -113.312  24.813    0.0000
 0(   1) -138.125 3(  90) -113.236  24.889    0.0010
 0(   1) -138.125 3(  98) -113.033  25.092    0.0002
 0(   1) -138.125 3( 102) -112.941  25.184    0.0002
 0(   1) -138.125 3( 106) -112.819  25.305    0.0001
 0(   1) -138.125 3( 115) -112.581  25.543    0.0006
 0(   1) -138.125 3( 118) -112.428  25.697    0.0000
 0(   1) -138.125 3( 126) -112.231  25.894    0.0000
 0(   1) -138.125 3( 131) -112.109  26.016    0.0001
 0(   1) -138.125 3( 134) -112.037  26.088    0.0000
 0(   1) -138.125 3( 139) -111.944  26.181    0.0002
 0(   1) -138.125 3( 146) -111.748  26.377    0.0001
 0(   1) -138.125 3( 160) -111.507  26.617    0.0000
 0(   1) -138.125 3( 166) -111.376  26.748    0.0000
 0(   1) -138.125 3( 171) -111.271  26.854    0.0002
 0(   1) -138.125 3( 173) -111.209  26.915    0.0000
 0(   1) -138.125 3( 180) -111.097  27.028    0.0001
 0(   1) -138.125 3( 184) -111.036  27.088    0.0000
 0(   1) -138.125 3( 192) -110.908  27.216    0.0001
 0(   1) -138.125 3( 200) -110.754  27.371    0.0004
 0(   1) -138.125 3( 204) -110.698  27.427    0.0003
 0(   1) -138.125 3( 213) -110.580  27.545    0.0004
 0(   1) -138.125 3( 214) -110.554  27.571    0.0001
 0(   1) -138.125 3( 218) -110.496  27.628    0.0003
 0(   1) -138.125 3( 223) -110.406  27.718    0.0000
 0(   1) -138.125 3( 226) -110.376  27.749    0.0000
 0(   1) -138.125 3( 233) -110.241  27.884    0.0001
 0(   1) -138.125 3( 242) -110.133  27.992    0.0001
 0(   1) -138.125 3( 246) -110.115  28.010    0.0009
 0(   1) -138.125 3( 254) -110.096  28.029    0.0000
 0(   1) -138.125 3( 264) -109.858  28.267    0.0002
 0(   1) -138.125 3( 268) -109.801  28.323    0.0002
 0(   1) -138.125 3( 271) -109.786  28.339    0.0000
 0(   1) -138.125 3( 278) -109.716  28.409    0.0008
 0(   1) -138.125 3( 287) -109.597  28.527    0.0001
 0(   1) -138.125 3( 291) -109.581  28.543    0.0011
 0(   1) -138.125 3( 293) -109.537  28.587    0.0003
 0(   1) -138.125 3( 303) -109.441  28.683    0.0001
 0(   1) -138.125 3( 307) -109.401  28.724    0.0000
 0(   1) -138.125 3( 314) -109.340  28.785    0.0002
 0(   1) -138.125 3( 319) -109.230  28.895    0.0000
 0(   1) -138.125 3( 321) -109.210  28.915    0.0000
 0(   1) -138.125 3( 330) -109.115  29.010    0.0001
 0(   1) -138.125 3( 336) -109.060  29.065    0.0000
 0(   1) -138.125 3( 341) -108.978  29.146    0.0001
 0(   1) -138.125 3( 350) -108.889  29.235    0.0000
 0(   1) -138.125 3( 355) -108.853  29.272    0.0005
 0(   1) -138.125 3( 360) -108.839  29.286    0.0002
 0(   1) -138.125 3( 367) -108.765  29.359    0.0000
 0(   1) -138.125 3( 375) -108.693  29.432    0.0008
 0(   1) -138.125 3( 381) -108.633  29.492    0.0000
 0(   1) -138.125 3( 387) -108.571  29.553    0.0001
 0(   1) -138.125 3( 389) -108.597  29.527    0.0000
 0(   1) -138.125 3( 400) -108.468  29.657    0.0011


         n  l 2j 2tz

orbit :   0  2  5  1    n 0d_5/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -138.125 5(   1) -127.019  11.105    3.4702
 0(   1) -138.125 5(   5) -123.808  14.317    0.0203
 0(   1) -138.125 5(   8) -121.999  16.125    0.0141
 0(   1) -138.125 5(  14) -119.592  18.533    0.0023
