

 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_psdmk2_sfotls_j0p.wav=O19_psdmk2_sfotls_m1n.wav + n



         n  l 2j 2tz

orbit :   0  1  1  1    n 0p_1/2

 S-factor parity  1 -1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -139.666 1(   1) -125.587  14.079    0.8697
 0(   1) -139.666 1(   6) -123.710  15.955    0.1980
 0(   1) -139.666 1(  12) -122.850  16.815    0.0622
 0(   1) -139.666 1(  22) -122.015  17.651    0.0025
 0(   1) -139.666 1(  34) -121.026  18.639    0.0000
 0(   1) -139.666 1(  37) -120.660  19.006    0.0062
 0(   1) -139.666 1(  43) -119.972  19.693    0.0180
 0(   1) -139.666 1(  52) -119.608  20.058    0.0236
 0(   1) -139.666 1(  66) -118.772  20.894    0.0458
 0(   1) -139.666 1(  77) -118.304  21.362    0.0004
 0(   1) -139.666 1(  81) -118.062  21.604    0.0008
 0(   1) -139.666 1(  92) -117.643  22.023    0.0005
 0(   1) -139.666 1(  93) -117.606  22.059    0.0153
 0(   1) -139.666 1( 106) -117.101  22.565    0.0007
 0(   1) -139.666 1( 113) -116.861  22.804    0.0000
 0(   1) -139.666 1( 136) -116.140  23.526    0.0110
 0(   1) -139.666 1( 149) -115.813  23.852    0.0003
 0(   1) -139.666 1( 155) -115.608  24.058    0.0005
 0(   1) -139.666 1( 168) -115.288  24.378    0.0089
 0(   1) -139.666 1( 173) -115.175  24.490    0.0011
 0(   1) -139.666 1( 188) -114.767  24.899    0.0000
 0(   1) -139.666 1( 190) -114.763  24.902    0.3466
 0(   1) -139.666 1( 191) -114.734  24.931    0.0002
 0(   1) -139.666 1( 204) -114.504  25.162    0.0012
 0(   1) -139.666 1( 211) -114.263  25.403    0.0036
 0(   1) -139.666 1( 225) -113.907  25.759    0.0004
 0(   1) -139.666 1( 229) -113.875  25.790    0.0011
 0(   1) -139.666 1( 237) -113.734  25.932    0.0000
 0(   1) -139.666 1( 243) -113.585  26.081    0.0073
 0(   1) -139.666 1( 255) -113.393  26.273    0.0001
 0(   1) -139.666 1( 273) -113.045  26.621    0.0020
 0(   1) -139.666 1( 289) -112.625  27.041    0.0017
 0(   1) -139.666 1( 296) -112.621  27.044    0.0049
 0(   1) -139.666 1( 304) -112.427  27.239    0.0015
 0(   1) -139.666 1( 310) -112.475  27.191    0.0060
 0(   1) -139.666 1( 314) -112.405  27.261    0.0040
 0(   1) -139.666 1( 323) -112.284  27.381    0.0236
 0(   1) -139.666 1( 332) -111.956  27.709    0.0000
 0(   1) -139.666 1( 342) -111.996  27.669    0.0003
 0(   1) -139.666 1( 345) -111.914  27.751    0.0003
 0(   1) -139.666 1( 352) -111.742  27.924    0.0054
 0(   1) -139.666 1( 357) -111.741  27.925    0.0119
 0(   1) -139.666 1( 376) -111.498  28.168    0.0053
 0(   1) -139.666 1( 377) -111.439  28.227    0.0313
 0(   1) -139.666 1( 381) -111.409  28.257    0.0011
 0(   1) -139.666 1( 406) -111.146  28.519    0.0015
 0(   1) -139.666 1( 419) -110.851  28.815    0.0004
 0(   1) -139.666 1( 426) -110.849  28.816    0.0020
 0(   1) -139.666 1( 432) -110.831  28.835    0.0005
 0(   1) -139.666 1( 444) -110.527  29.139    0.0009
 0(   1) -139.666 1( 458) -110.477  29.189    0.0066
 0(   1) -139.666 1( 461) -110.420  29.246    0.0049
 0(   1) -139.666 1( 475) -110.245  29.421    0.0007
 0(   1) -139.666 1( 480) -110.244  29.422    0.0041
 0(   1) -139.666 1( 487) -110.221  29.444    0.0106
 0(   1) -139.666 1( 493) -110.051  29.614    0.0029
 0(   1) -139.666 1( 498) -110.047  29.618    0.0001
 0(   1) -139.666 1( 499) -110.068  29.597    0.0018
 0(   1) -139.666 1( 529) -109.725  29.940    0.0000
 0(   1) -139.666 1( 534) -109.655  30.010    0.0009
 0(   1) -139.666 1( 539) -109.643  30.023    0.0024
 0(   1) -139.666 1( 552) -109.494  30.172    0.0060
 0(   1) -139.666 1( 558) -109.451  30.214    0.0007
 0(   1) -139.666 1( 562) -109.384  30.282    0.0016
 0(   1) -139.666 1( 573) -109.310  30.356    0.0020
 0(   1) -139.666 1( 582) -109.196  30.469    0.0003
 0(   1) -139.666 1( 604) -108.950  30.716    0.0000
 0(   1) -139.666 1( 614) -108.903  30.763    0.0003
 0(   1) -139.666 1( 629) -108.754  30.912    0.0002
 0(   1) -139.666 1( 631) -108.731  30.935    0.0039
 0(   1) -139.666 1( 645) -108.583  31.082    0.0030
 0(   1) -139.666 1( 646) -108.579  31.087    0.0006
 0(   1) -139.666 1( 658) -108.507  31.159    0.0039
 0(   1) -139.666 1( 664) -108.476  31.190    0.0033
 0(   1) -139.666 1( 678) -108.320  31.346    0.0002
 0(   1) -139.666 1( 690) -108.141  31.525    0.0000
 0(   1) -139.666 1( 695) -108.118  31.548    0.0019


         n  l 2j 2tz

orbit :   0  1  3  1    n 0p_3/2

 S-factor parity  1 -1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -139.666 3(   4) -124.630  15.035    0.0064
 0(   1) -139.666 3(   9) -123.427  16.239    0.0409
