

 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_psdmk2_sfotls_j0p.wav=O19_psdmk2_sfotls_m1p.wav + n



         n  l 2j 2tz

orbit :   0  2  3  1    n 0d_3/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -139.666 3(   2) -131.032   8.633    0.0489
 0(   1) -139.666 3(   7) -127.413  12.253    0.0049
 0(   1) -139.666 3(  10) -125.131  14.535    0.1276
 0(   1) -139.666 3(  15) -122.517  17.149    0.0214
 0(   1) -139.666 3(  18) -121.298  18.367    0.0001
 0(   1) -139.666 3(  21) -120.138  19.528    0.0000
 0(   1) -139.666 3(  24) -119.751  19.914    0.0001
 0(   1) -139.666 3(  28) -118.834  20.831    0.0000
 0(   1) -139.666 3(  32) -117.873  21.792    0.0001
 0(   1) -139.666 3(  35) -117.110  22.556    0.0000
 0(   1) -139.666 3(  40) -116.377  23.289    0.0002
 0(   1) -139.666 3(  41) -116.089  23.577    0.0002
 0(   1) -139.666 3(  47) -115.473  24.193    0.0009
 0(   1) -139.666 3(  56) -114.791  24.875    0.0002
 0(   1) -139.666 3(  58) -114.616  25.050    0.0001
 0(   1) -139.666 3(  62) -114.453  25.213    0.0001
 0(   1) -139.666 3(  67) -114.273  25.392    0.0003
 0(   1) -139.666 3(  76) -113.896  25.769    0.0003
 0(   1) -139.666 3(  77) -113.916  25.750    0.0001
 0(   1) -139.666 3(  80) -113.663  26.003    0.0000
 0(   1) -139.666 3(  82) -113.650  26.016    0.0000
 0(   1) -139.666 3(  88) -113.388  26.277    0.0000
 0(   1) -139.666 3(  90) -113.294  26.372    0.0002
 0(   1) -139.666 3(  94) -113.206  26.460    0.0000
 0(   1) -139.666 3( 104) -113.010  26.656    0.0000
 0(   1) -139.666 3( 105) -112.984  26.682    0.0006
 0(   1) -139.666 3( 112) -112.806  26.860    0.0000
 0(   1) -139.666 3( 119) -112.581  27.084    0.0002
 0(   1) -139.666 3( 123) -112.513  27.153    0.0000
 0(   1) -139.666 3( 130) -112.421  27.245    0.0000
 0(   1) -139.666 3( 131) -112.303  27.363    0.0000
 0(   1) -139.666 3( 136) -112.118  27.548    0.0000
 0(   1) -139.666 3( 139) -112.033  27.632    0.0000
 0(   1) -139.666 3( 144) -111.982  27.684    0.0001
 0(   1) -139.666 3( 156) -111.676  27.990    0.0000
 0(   1) -139.666 3( 163) -111.540  28.125    0.0000
 0(   1) -139.666 3( 170) -111.357  28.308    0.0000
 0(   1) -139.666 3( 173) -111.263  28.402    0.0001
 0(   1) -139.666 3( 176) -111.188  28.478    0.0001
 0(   1) -139.666 3( 186) -111.073  28.592    0.0000
 0(   1) -139.666 3( 188) -111.038  28.627    0.0001
 0(   1) -139.666 3( 194) -110.918  28.748    0.0000
 0(   1) -139.666 3( 205) -110.701  28.965    0.0001
 0(   1) -139.666 3( 210) -110.631  29.034    0.0000
 0(   1) -139.666 3( 214) -110.553  29.113    0.0000
 0(   1) -139.666 3( 219) -110.499  29.166    0.0001
 0(   1) -139.666 3( 220) -110.470  29.196    0.0006
 0(   1) -139.666 3( 229) -110.309  29.357    0.0000
 0(   1) -139.666 3( 234) -110.251  29.415    0.0001
 0(   1) -139.666 3( 235) -110.162  29.503    0.0002
 0(   1) -139.666 3( 247) -110.004  29.661    0.0002
 0(   1) -139.666 3( 250) -109.967  29.699    0.0001
 0(   1) -139.666 3( 260) -109.821  29.845    0.0000
 0(   1) -139.666 3( 263) -109.791  29.874    0.0006
 0(   1) -139.666 3( 269) -109.684  29.981    0.0000
 0(   1) -139.666 3( 273) -109.613  30.053    0.0001
 0(   1) -139.666 3( 283) -109.509  30.156    0.0002
 0(   1) -139.666 3( 286) -109.481  30.184    0.0000
 0(   1) -139.666 3( 296) -109.389  30.277    0.0004
 0(   1) -139.666 3( 304) -109.321  30.345    0.0001
 0(   1) -139.666 3( 306) -109.268  30.398    0.0003
 0(   1) -139.666 3( 311) -109.198  30.467    0.0001
 0(   1) -139.666 3( 321) -109.063  30.602    0.0000
 0(   1) -139.666 3( 325) -109.028  30.637    0.0002
 0(   1) -139.666 3( 326) -109.015  30.651    0.0001
 0(   1) -139.666 3( 339) -108.870  30.796    0.0000
 0(   1) -139.666 3( 344) -108.809  30.857    0.0000
 0(   1) -139.666 3( 353) -108.730  30.936    0.0000
 0(   1) -139.666 3( 357) -108.680  30.985    0.0001
 0(   1) -139.666 3( 362) -108.627  31.038    0.0000
 0(   1) -139.666 3( 367) -108.579  31.087    0.0003
 0(   1) -139.666 3( 379) -108.451  31.214    0.0000
 0(   1) -139.666 3( 389) -108.383  31.282    0.0001
 0(   1) -139.666 3( 391) -108.359  31.306    0.0000
 0(   1) -139.666 3( 397) -108.314  31.351    0.0004
 0(   1) -139.666 3( 403) -108.241  31.424    0.0000
 0(   1) -139.666 3( 408) -108.184  31.481    0.0000
 0(   1) -139.666 3( 414) -108.135  31.530    0.0000
 0(   1) -139.666 3( 420) -108.087  31.578    0.0000
 0(   1) -139.666 3( 429) -107.997  31.669    0.0000
 0(   1) -139.666 3( 433) -107.960  31.705    0.0006
 0(   1) -139.666 3( 437) -107.948  31.718    0.0000
