

 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_ysox_j0p.wav=O19_ysox_m1n.wav + n



         n  l 2j 2tz

orbit :   0  1  1  1    n 0p_1/2

 S-factor parity  1 -1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -137.310 1(   2) -124.573  12.738    0.4866
 0(   1) -137.310 1(   8) -123.320  13.991    0.5824
 0(   1) -137.310 1(  17) -122.235  15.076    0.0291
 0(   1) -137.310 1(  24) -121.588  15.722    0.0065
 0(   1) -137.310 1(  31) -120.375  16.935    0.0891
 0(   1) -137.310 1(  34) -120.394  16.916    0.0001
 0(   1) -137.310 1(  42) -119.907  17.403    0.0308
 0(   1) -137.310 1(  54) -119.302  18.009    0.0195
 0(   1) -137.310 1(  56) -119.169  18.142    0.0049
 0(   1) -137.310 1(  75) -118.321  18.989    0.0020
 0(   1) -137.310 1(  77) -118.230  19.080    0.0383
 0(   1) -137.310 1(  78) -118.135  19.175    0.0134
 0(   1) -137.310 1(  84) -117.950  19.361    0.0018
 0(   1) -137.310 1(  98) -117.456  19.855    0.0197
 0(   1) -137.310 1( 121) -116.655  20.655    0.0005
 0(   1) -137.310 1( 127) -116.508  20.802    0.0071
 0(   1) -137.310 1( 134) -116.264  21.046    0.0029
 0(   1) -137.310 1( 150) -115.822  21.489    0.0237
 0(   1) -137.310 1( 162) -115.298  22.012    0.0006
 0(   1) -137.310 1( 170) -115.136  22.174    0.0001
 0(   1) -137.310 1( 182) -115.026  22.285    0.0000
 0(   1) -137.310 1( 186) -114.911  22.399    0.0002
 0(   1) -137.310 1( 196) -114.663  22.648    0.0031
 0(   1) -137.310 1( 204) -114.503  22.807    0.0005
 0(   1) -137.310 1( 205) -114.611  22.699    0.3369
 0(   1) -137.310 1( 225) -114.060  23.250    0.0043
 0(   1) -137.310 1( 230) -114.012  23.298    0.0014
 0(   1) -137.310 1( 236) -113.884  23.426    0.0002
 0(   1) -137.310 1( 243) -113.845  23.466    0.0025
 0(   1) -137.310 1( 255) -113.656  23.654    0.0008
 0(   1) -137.310 1( 269) -113.412  23.899    0.0009
 0(   1) -137.310 1( 280) -113.161  24.149    0.0010
 0(   1) -137.310 1( 290) -113.020  24.290    0.0001
 0(   1) -137.310 1( 293) -112.975  24.335    0.0062
 0(   1) -137.310 1( 304) -112.840  24.470    0.0000
 0(   1) -137.310 1( 315) -112.603  24.707    0.0018
 0(   1) -137.310 1( 317) -112.588  24.722    0.0060
 0(   1) -137.310 1( 333) -112.472  24.838    0.0018
 0(   1) -137.310 1( 335) -112.392  24.918    0.0009
 0(   1) -137.310 1( 347) -112.181  25.129    0.0024
 0(   1) -137.310 1( 361) -112.040  25.271    0.0021
 0(   1) -137.310 1( 372) -111.913  25.397    0.0006
 0(   1) -137.310 1( 378) -111.783  25.527    0.0001
 0(   1) -137.310 1( 396) -111.658  25.652    0.0000
 0(   1) -137.310 1( 398) -111.646  25.664    0.0147
 0(   1) -137.310 1( 407) -111.444  25.866    0.0000
 0(   1) -137.310 1( 424) -111.181  26.129    0.0000
 0(   1) -137.310 1( 428) -111.248  26.063    0.0004
 0(   1) -137.310 1( 443) -111.127  26.183    0.0077
 0(   1) -137.310 1( 448) -111.069  26.241    0.0004
 0(   1) -137.310 1( 457) -110.926  26.384    0.0042
 0(   1) -137.310 1( 470) -110.838  26.472    0.0001
 0(   1) -137.310 1( 475) -110.742  26.568    0.0000
 0(   1) -137.310 1( 483) -110.645  26.665    0.0000
 0(   1) -137.310 1( 493) -110.561  26.749    0.0003
 0(   1) -137.310 1( 511) -110.368  26.942    0.0000
 0(   1) -137.310 1( 529) -110.194  27.116    0.0004
 0(   1) -137.310 1( 536) -110.163  27.147    0.0000
 0(   1) -137.310 1( 542) -110.140  27.171    0.0012
 0(   1) -137.310 1( 556) -110.078  27.232    0.0026
 0(   1) -137.310 1( 558) -109.989  27.321    0.0000
 0(   1) -137.310 1( 567) -109.884  27.427    0.0001
 0(   1) -137.310 1( 578) -109.847  27.463    0.0003
 0(   1) -137.310 1( 595) -109.678  27.632    0.0054
 0(   1) -137.310 1( 607) -109.584  27.726    0.0010
 0(   1) -137.310 1( 615) -109.509  27.801    0.0010
 0(   1) -137.310 1( 627) -109.393  27.918    0.0009
 0(   1) -137.310 1( 637) -109.349  27.961    0.0001
 0(   1) -137.310 1( 649) -109.243  28.068    0.0008
 0(   1) -137.310 1( 659) -109.205  28.105    0.0009
 0(   1) -137.310 1( 666) -109.080  28.230    0.0005
 0(   1) -137.310 1( 678) -109.030  28.281    0.0001
 0(   1) -137.310 1( 684) -108.960  28.351    0.0006
 0(   1) -137.310 1( 696) -108.890  28.420    0.0000


         n  l 2j 2tz

orbit :   0  1  3  1    n 0p_3/2

 S-factor parity  1 -1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -137.310 3(   4) -124.228  13.083    0.0029
 0(   1) -137.310 3(   6) -123.640  13.671    0.0028
 0(   1) -137.310 3(  12) -122.777  14.533    0.0000
 0(   1) -137.310 3(  13) -122.555  14.755    0.0264
 0(   1) -137.310 3(  22) -121.916  15.394    0.0279
 0(   1) -137.310 3(  23) -121.627  15.683    0.0129
