

 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_ysox_j0p.wav=O19_ysox_m1p.wav + n



         n  l 2j 2tz

orbit :   0  2  3  1    n 0d_3/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -137.310 3(   2) -129.523   7.787    0.0484
 0(   1) -137.310 3(   7) -126.160  11.150    0.0016
 0(   1) -137.310 3(  10) -123.753  13.558    0.1013
 0(   1) -137.310 3(  15) -121.395  15.915    0.0103
 0(   1) -137.310 3(  16) -120.995  16.315    0.0065
 0(   1) -137.310 3(  20) -120.242  17.069    0.0021
 0(   1) -137.310 3(  24) -119.129  18.182    0.0036
 0(   1) -137.310 3(  31) -117.364  19.947    0.0001
 0(   1) -137.310 3(  35) -117.082  20.228    0.0001
 0(   1) -137.310 3(  36) -116.449  20.861    0.0000
 0(   1) -137.310 3(  37) -116.362  20.949    0.0003
 0(   1) -137.310 3(  47) -115.452  21.858    0.0019
 0(   1) -137.310 3(  53) -114.733  22.577    0.0003
 0(   1) -137.310 3(  60) -114.357  22.953    0.0001
 0(   1) -137.310 3(  62) -114.271  23.040    0.0002
 0(   1) -137.310 3(  68) -114.074  23.237    0.0001
 0(   1) -137.310 3(  76) -113.575  23.736    0.0001
 0(   1) -137.310 3(  77) -113.440  23.870    0.0000
 0(   1) -137.310 3(  84) -113.163  24.147    0.0002
 0(   1) -137.310 3(  87) -113.082  24.228    0.0004
 0(   1) -137.310 3(  92) -112.912  24.398    0.0006
 0(   1) -137.310 3(  95) -112.780  24.530    0.0000
 0(   1) -137.310 3(  97) -112.780  24.530    0.0019
 0(   1) -137.310 3( 103) -112.562  24.748    0.0002
 0(   1) -137.310 3( 110) -112.380  24.930    0.0002
 0(   1) -137.310 3( 112) -112.338  24.973    0.0004
 0(   1) -137.310 3( 116) -112.168  25.142    0.0000
 0(   1) -137.310 3( 122) -112.008  25.302    0.0000
 0(   1) -137.310 3( 127) -111.956  25.355    0.0003
 0(   1) -137.310 3( 130) -111.809  25.502    0.0007
 0(   1) -137.310 3( 136) -111.598  25.712    0.0000
 0(   1) -137.310 3( 141) -111.468  25.842    0.0004
 0(   1) -137.310 3( 147) -111.375  25.936    0.0000
 0(   1) -137.310 3( 153) -111.219  26.092    0.0003
 0(   1) -137.310 3( 155) -111.145  26.166    0.0000
 0(   1) -137.310 3( 159) -111.053  26.257    0.0000
 0(   1) -137.310 3( 163) -110.988  26.322    0.0001
 0(   1) -137.310 3( 173) -110.856  26.454    0.0007
 0(   1) -137.310 3( 182) -110.656  26.654    0.0000
 0(   1) -137.310 3( 187) -110.553  26.758    0.0000
 0(   1) -137.310 3( 191) -110.475  26.836    0.0003
 0(   1) -137.310 3( 203) -110.277  27.033    0.0001
 0(   1) -137.310 3( 206) -110.200  27.110    0.0004
 0(   1) -137.310 3( 212) -110.125  27.185    0.0001
 0(   1) -137.310 3( 220) -109.977  27.334    0.0001
 0(   1) -137.310 3( 227) -109.831  27.479    0.0000
 0(   1) -137.310 3( 229) -109.798  27.512    0.0001
 0(   1) -137.310 3( 238) -109.588  27.723    0.0001
 0(   1) -137.310 3( 246) -109.502  27.808    0.0001
 0(   1) -137.310 3( 251) -109.405  27.905    0.0000
 0(   1) -137.310 3( 261) -109.230  28.080    0.0002
 0(   1) -137.310 3( 264) -109.211  28.100    0.0005
 0(   1) -137.310 3( 266) -109.125  28.185    0.0001
 0(   1) -137.310 3( 275) -109.077  28.233    0.0001
 0(   1) -137.310 3( 281) -108.970  28.341    0.0000
 0(   1) -137.310 3( 295) -108.812  28.498    0.0000
 0(   1) -137.310 3( 300) -108.723  28.588    0.0002
 0(   1) -137.310 3( 305) -108.663  28.647    0.0000
 0(   1) -137.310 3( 310) -108.611  28.699    0.0003
 0(   1) -137.310 3( 322) -108.397  28.913    0.0000
 0(   1) -137.310 3( 329) -108.363  28.947    0.0001
 0(   1) -137.310 3( 333) -108.300  29.011    0.0001
 0(   1) -137.310 3( 338) -108.257  29.054    0.0000
 0(   1) -137.310 3( 344) -108.181  29.129    0.0000
 0(   1) -137.310 3( 347) -108.133  29.177    0.0004
 0(   1) -137.310 3( 357) -108.041  29.270    0.0000
 0(   1) -137.310 3( 359) -108.011  29.299    0.0003
 0(   1) -137.310 3( 370) -107.943  29.368    0.0000
 0(   1) -137.310 3( 375) -107.871  29.440    0.0000
 0(   1) -137.310 3( 385) -107.759  29.551    0.0002
 0(   1) -137.310 3( 387) -107.753  29.557    0.0005
 0(   1) -137.310 3( 394) -107.662  29.648    0.0001
 0(   1) -137.310 3( 402) -107.583  29.727    0.0004
 0(   1) -137.310 3( 407) -107.530  29.780    0.0000
 0(   1) -137.310 3( 414) -107.474  29.836    0.0003
 0(   1) -137.310 3( 418) -107.442  29.868    0.0000
 0(   1) -137.310 3( 427) -107.352  29.958    0.0000
 0(   1) -137.310 3( 431) -107.342  29.968    0.0000
 0(   1) -137.310 3( 435) -107.292  30.019    0.0002
 0(   1) -137.310 3( 438) -107.273  30.037    0.0001
 0(   1) -137.310 3( 447) -107.181  30.130    0.0002
 0(   1) -137.310 3( 454) -107.112  30.199    0.0001
 0(   1) -137.310 3( 458) -107.069  30.241    0.0001
