

 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_sfotls_mod_j0p.wav=O19_sfotls_mod_m1n.wav + n



         n  l 2j 2tz

orbit :   0  1  1  1    n 0p_1/2

 S-factor parity  1 -1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -149.703 1(   1) -134.884  14.818    0.8844
 0(   1) -149.703 1(   8) -132.873  16.829    0.1764
 0(   1) -149.703 1(  12) -132.256  17.446    0.0633
 0(   1) -149.703 1(  20) -131.336  18.367    0.0028
 0(   1) -149.703 1(  31) -130.432  19.270    0.0000
 0(   1) -149.703 1(  37) -129.957  19.745    0.0102
 0(   1) -149.703 1(  40) -129.358  20.345    0.0092
 0(   1) -149.703 1(  49) -128.865  20.837    0.0094
 0(   1) -149.703 1(  53) -128.665  21.037    0.0434
 0(   1) -149.703 1(  71) -127.857  21.845    0.0320
 0(   1) -149.703 1(  80) -127.407  22.296    0.0035
 0(   1) -149.703 1(  95) -126.853  22.850    0.0005
 0(   1) -149.703 1(  98) -126.659  23.044    0.0112
 0(   1) -149.703 1( 104) -126.452  23.250    0.0000
 0(   1) -149.703 1( 126) -125.799  23.904    0.0001
 0(   1) -149.703 1( 145) -125.131  24.571    0.0118
 0(   1) -149.703 1( 153) -124.924  24.778    0.0005
 0(   1) -149.703 1( 156) -124.808  24.894    0.0002
 0(   1) -149.703 1( 166) -124.538  25.165    0.0000
 0(   1) -149.703 1( 169) -124.553  25.149    0.0001
 0(   1) -149.703 1( 182) -124.322  25.381    0.0060
 0(   1) -149.703 1( 189) -124.124  25.579    0.0007
 0(   1) -149.703 1( 193) -124.018  25.685    0.0016
 0(   1) -149.703 1( 198) -123.947  25.756    0.0100
 0(   1) -149.703 1( 202) -123.971  25.732    0.3241
 0(   1) -149.703 1( 214) -123.597  26.105    0.0002
 0(   1) -149.703 1( 216) -123.603  26.100    0.0000
 0(   1) -149.703 1( 227) -123.459  26.243    0.0007
 0(   1) -149.703 1( 237) -123.284  26.419    0.0029
 0(   1) -149.703 1( 247) -123.148  26.555    0.0008
 0(   1) -149.703 1( 251) -123.034  26.669    0.0001
 0(   1) -149.703 1( 261) -122.785  26.918    0.0027
 0(   1) -149.703 1( 271) -122.697  27.006    0.0012
 0(   1) -149.703 1( 286) -122.482  27.220    0.0000
 0(   1) -149.703 1( 287) -122.450  27.252    0.0033
 0(   1) -149.703 1( 295) -122.383  27.320    0.0000
 0(   1) -149.703 1( 305) -122.094  27.609    0.0003
 0(   1) -149.703 1( 307) -122.107  27.595    0.0002
 0(   1) -149.703 1( 322) -121.975  27.727    0.0042
 0(   1) -149.703 1( 338) -121.792  27.911    0.0004
 0(   1) -149.703 1( 352) -121.638  28.065    0.0091
 0(   1) -149.703 1( 370) -121.354  28.349    0.0002
 0(   1) -149.703 1( 375) -121.297  28.405    0.0017
 0(   1) -149.703 1( 378) -121.279  28.423    0.0101
 0(   1) -149.703 1( 383) -121.181  28.522    0.0070
 0(   1) -149.703 1( 396) -121.118  28.584    0.0094
 0(   1) -149.703 1( 410) -120.968  28.734    0.0003
 0(   1) -149.703 1( 418) -120.915  28.787    0.0085
 0(   1) -149.703 1( 424) -120.826  28.877    0.0023
 0(   1) -149.703 1( 429) -120.729  28.974    0.0009
 0(   1) -149.703 1( 439) -120.501  29.202    0.0002
 0(   1) -149.703 1( 450) -120.485  29.217    0.0368
 0(   1) -149.703 1( 459) -120.394  29.309    0.0038
 0(   1) -149.703 1( 464) -120.290  29.413    0.0072
 0(   1) -149.703 1( 488) -120.080  29.622    0.0001
 0(   1) -149.703 1( 493) -119.998  29.705    0.0000
 0(   1) -149.703 1( 511) -119.917  29.786    0.0016
 0(   1) -149.703 1( 513) -119.829  29.874    0.0000
 0(   1) -149.703 1( 535) -119.678  30.025    0.0014
 0(   1) -149.703 1( 543) -119.611  30.092    0.0033
 0(   1) -149.703 1( 550) -119.572  30.131    0.0001
 0(   1) -149.703 1( 557) -119.501  30.202    0.0027
 0(   1) -149.703 1( 565) -119.388  30.314    0.0047
 0(   1) -149.703 1( 568) -119.411  30.292    0.0000
 0(   1) -149.703 1( 581) -119.337  30.366    0.0004
 0(   1) -149.703 1( 593) -119.219  30.484    0.0129
 0(   1) -149.703 1( 602) -119.093  30.610    0.0013
 0(   1) -149.703 1( 617) -119.010  30.692    0.0006
 0(   1) -149.703 1( 627) -118.926  30.777    0.0003
 0(   1) -149.703 1( 639) -118.807  30.895    0.0000
 0(   1) -149.703 1( 647) -118.760  30.943    0.0003


         n  l 2j 2tz

orbit :   0  1  3  1    n 0p_3/2

 S-factor parity  1 -1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -149.703 3(   4) -133.923  15.780    0.0082
 0(   1) -149.703 3(   9) -132.714  16.989    0.0416
 0(   1) -149.703 3(  11) -132.351  17.351    0.0179
 0(   1) -149.703 3(  14) -132.078  17.625    0.0725
 0(   1) -149.703 3(  19) -131.480  18.223    0.0487
 0(   1) -149.703 3(  23) -131.179  18.523    0.1236
 0(   1) -149.703 3(  27) -130.782  18.921    0.0326
 0(   1) -149.703 3(  32) -130.429  19.274    0.0113
 0(   1) -149.703 3(  34) -130.337  19.365    0.0270
