


 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O20_sfotls_mod_j0p.wav=O19_sfotls_mod_m1p.wav + n



         n  l 2j 2tz

orbit :   0  2  3  1    n 0d_3/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -149.703 3(   2) -138.561  11.142    0.0431
 0(   1) -149.703 3(   7) -135.009  14.693    0.0029
 0(   1) -149.703 3(  10) -132.171  17.532    0.1065
 0(   1) -149.703 3(  12) -130.692  19.011    0.0000
 0(   1) -149.703 3(  17) -129.407  20.296    0.0195
 0(   1) -149.703 3(  21) -128.527  21.176    0.0004
 0(   1) -149.703 3(  22) -128.320  21.383    0.0001
 0(   1) -149.703 3(  28) -127.626  22.077    0.0001
 0(   1) -149.703 3(  33) -126.902  22.801    0.0003
 0(   1) -149.703 3(  36) -126.846  22.857    0.0001
 0(   1) -149.703 3(  38) -126.639  23.064    0.0006
 0(   1) -149.703 3(  43) -126.148  23.555    0.0013
 0(   1) -149.703 3(  47) -125.942  23.760    0.0000
 0(   1) -149.703 3(  52) -125.378  24.325    0.0002
 0(   1) -149.703 3(  55) -125.234  24.468    0.0004
 0(   1) -149.703 3(  60) -125.090  24.612    0.0001
 0(   1) -149.703 3(  63) -124.929  24.773    0.0002
 0(   1) -149.703 3(  72) -124.459  25.244    0.0005
 0(   1) -149.703 3(  76) -124.263  25.440    0.0000
 0(   1) -149.703 3(  80) -124.178  25.525    0.0001
 0(   1) -149.703 3(  83) -124.000  25.702    0.0000
 0(   1) -149.703 3(  86) -123.927  25.776    0.0003
 0(   1) -149.703 3(  91) -123.751  25.952    0.0001
 0(   1) -149.703 3(  98) -123.631  26.071    0.0000
 0(   1) -149.703 3( 102) -123.523  26.180    0.0007
 0(   1) -149.703 3( 109) -123.319  26.383    0.0000
 0(   1) -149.703 3( 115) -123.109  26.594    0.0004
 0(   1) -149.703 3( 118) -123.001  26.701    0.0000
 0(   1) -149.703 3( 126) -122.797  26.906    0.0000
 0(   1) -149.703 3( 129) -122.677  27.026    0.0000
 0(   1) -149.703 3( 133) -122.603  27.100    0.0001
 0(   1) -149.703 3( 140) -122.483  27.220    0.0001
 0(   1) -149.703 3( 151) -122.246  27.457    0.0000
 0(   1) -149.703 3( 157) -122.053  27.650    0.0000
 0(   1) -149.703 3( 162) -121.941  27.761    0.0000
 0(   1) -149.703 3( 167) -121.861  27.841    0.0000
 0(   1) -149.703 3( 171) -121.815  27.887    0.0003
 0(   1) -149.703 3( 179) -121.691  28.011    0.0001
 0(   1) -149.703 3( 182) -121.613  28.090    0.0001
 0(   1) -149.703 3( 192) -121.430  28.273    0.0000
 0(   1) -149.703 3( 197) -121.323  28.380    0.0001
 0(   1) -149.703 3( 199) -121.258  28.444    0.0001
 0(   1) -149.703 3( 209) -121.132  28.570    0.0005
 0(   1) -149.703 3( 212) -121.057  28.646    0.0000
 0(   1) -149.703 3( 215) -121.009  28.694    0.0001
 0(   1) -149.703 3( 224) -120.881  28.821    0.0000
 0(   1) -149.703 3( 228) -120.770  28.932    0.0005
 0(   1) -149.703 3( 229) -120.742  28.961    0.0004
 0(   1) -149.703 3( 235) -120.615  29.088    0.0002
 0(   1) -149.703 3( 244) -120.538  29.165    0.0000
 0(   1) -149.703 3( 254) -120.413  29.290    0.0000
 0(   1) -149.703 3( 262) -120.318  29.384    0.0002
 0(   1) -149.703 3( 264) -120.267  29.436    0.0006
 0(   1) -149.703 3( 269) -120.260  29.443    0.0000
 0(   1) -149.703 3( 276) -120.113  29.590    0.0001
 0(   1) -149.703 3( 281) -120.076  29.627    0.0002
 0(   1) -149.703 3( 287) -120.009  29.693    0.0002
 0(   1) -149.703 3( 296) -119.898  29.804    0.0004
 0(   1) -149.703 3( 303) -119.806  29.897    0.0001
 0(   1) -149.703 3( 307) -119.789  29.914    0.0000
 0(   1) -149.703 3( 313) -119.683  30.020    0.0002
 0(   1) -149.703 3( 315) -119.673  30.029    0.0001
 0(   1) -149.703 3( 326) -119.532  30.171    0.0003
 0(   1) -149.703 3( 331) -119.481  30.222    0.0001
 0(   1) -149.703 3( 337) -119.410  30.293    0.0000
 0(   1) -149.703 3( 344) -119.325  30.378    0.0000
 0(   1) -149.703 3( 347) -119.278  30.425    0.0000
 0(   1) -149.703 3( 356) -119.180  30.522    0.0001
 0(   1) -149.703 3( 360) -119.169  30.533    0.0001
 0(   1) -149.703 3( 372) -119.055  30.648    0.0000
 0(   1) -149.703 3( 379) -118.994  30.709    0.0002
 0(   1) -149.703 3( 386) -118.959  30.744    0.0003
 0(   1) -149.703 3( 390) -118.892  30.811    0.0002
 0(   1) -149.703 3( 396) -118.833  30.869    0.0003


         n  l 2j 2tz

orbit :   0  2  5  1    n 0d_5/2

 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -149.703 5(   1) -138.628  11.075    3.5235
 0(   1) -149.703 5(   5) -135.433  14.270    0.0203
 0(   1) -149.703 5(   8) -133.614  16.089    0.0158
 0(   1) -149.703 5(  14) -130.422  19.281    0.0034
 0(   1) -149.703 5(  15) -129.871  19.831    0.0017
 0(   1) -149.703 5(  20) -128.760  20.943    0.0237
