

 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O17_sfotls_m1n.wav + n <=> O18_sfotls_m0p.wav
 


         n  l 2j 2tz

orbit :   0  1  1  1    n 0p_1/2
 
 S-factor parity  1 -1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -126.177 1(   1) -112.293  13.884    0.7809
 0(   1) -126.177 1(   5) -110.325  15.852    0.1221
 0(   1) -126.177 1(  11) -108.530  17.647    0.1485
 0(   1) -126.177 1(  20) -105.730  20.447    0.0190
 0(   1) -126.177 1(  21) -105.653  20.523    0.5876
 0(   1) -126.177 1(  25) -104.800  21.377    0.0054
 0(   1) -126.177 1(  28) -104.270  21.907    0.0006
 0(   1) -126.177 1(  37) -102.871  23.305    0.0139
 0(   1) -126.177 1(  42) -102.362  23.815    0.0085
 0(   1) -126.177 1(  51) -101.232  24.945    0.1058
 0(   1) -126.177 1(  62) -100.246  25.931    0.0006
 0(   1) -126.177 1(  66) -100.019  26.158    0.0034
 0(   1) -126.177 1(  71)  -99.661  26.516    0.0029
 0(   1) -126.177 1(  77)  -99.126  27.051    0.0003
 0(   1) -126.177 1(  93)  -97.885  28.292    0.0003
 0(   1) -126.177 1( 105)  -97.477  28.700    0.0096
 0(   1) -126.177 1( 116)  -96.977  29.200    0.0016
 0(   1) -126.177 1( 121)  -96.750  29.427    0.0091
 0(   1) -126.177 1( 126)  -96.450  29.727    0.0023
 0(   1) -126.177 1( 132)  -96.265  29.912    0.0029
 0(   1) -126.177 1( 134)  -96.244  29.933    0.0290
 0(   1) -126.177 1( 137)  -96.015  30.162    0.0001
 0(   1) -126.177 1( 144)  -95.823  30.354    0.0007
 0(   1) -126.177 1( 148)  -95.808  30.369    0.0002


         n  l 2j 2tz

orbit :   0  1  3  1    n 0p_3/2
 
 S-factor parity  1 -1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -126.177 3(   4) -110.419  15.758    0.1528
 0(   1) -126.177 3(   8) -109.907  16.270    0.1197
 0(   1) -126.177 3(  13) -107.929  18.248    0.0704
 0(   1) -126.177 3(  16) -106.831  19.346    0.0012
 0(   1) -126.177 3(  19) -106.051  20.126    0.0006
 0(   1) -126.177 3(  22) -105.450  20.727    0.2458
 0(   1) -126.177 3(  30) -104.037  22.140    0.3787
 0(   1) -126.177 3(  31) -103.781  22.396    0.1006
 0(   1) -126.177 3(  34) -103.188  22.989    0.0154
 0(   1) -126.177 3(  36) -102.843  23.334    0.2346
 0(   1) -126.177 3(  43) -102.037  24.140    0.0001
 0(   1) -126.177 3(  44) -102.012  24.165    0.0952
 0(   1) -126.177 3(  46) -101.587  24.590    0.0050
 0(   1) -126.177 3(  52) -101.105  25.072    0.4538
 0(   1) -126.177 3(  63) -100.357  25.819    0.0026
 0(   1) -126.177 3(  64) -100.230  25.947    0.1158
 0(   1) -126.177 3(  74)  -99.376  26.801    0.0162
 0(   1) -126.177 3(  76)  -99.281  26.895    0.0341
 0(   1) -126.177 3(  78)  -99.025  27.152    0.9112
 0(   1) -126.177 3(  80)  -98.779  27.398    0.0001
 0(   1) -126.177 3(  83)  -98.436  27.741    0.0070
 0(   1) -126.177 3(  84)  -98.345  27.831    0.1647
 0(   1) -126.177 3(  89)  -98.042  28.135    0.0101
 0(   1) -126.177 3(  95)  -97.833  28.344    0.1216
 0(   1) -126.177 3( 101)  -97.424  28.753    0.0050
 0(   1) -126.177 3( 104)  -97.511  28.666    0.0019
 0(   1) -126.177 3( 107)  -97.291  28.886    0.0173
 0(   1) -126.177 3( 112)  -97.104  29.072    0.0491
 0(   1) -126.177 3( 114)  -97.061  29.116    0.0647
 0(   1) -126.177 3( 120)  -96.668  29.509    0.0012
 0(   1) -126.177 3( 122)  -96.724  29.453    0.0042
 0(   1) -126.177 3( 128)  -96.323  29.854    0.0025
 0(   1) -126.177 3( 136)  -96.105  30.072    0.0052
 0(   1) -126.177 3( 141)  -96.009  30.167    0.0023
 0(   1) -126.177 3( 149)  -95.661  30.516    0.0003




