

 ------------------------------------ 
 --- Spectroscopic factor , C^2*S --- 
 ------------------------------------ 

 O17_sfotls_m1p.wav + n <=> O18_sfotls_m0p.wav
 


         n  l 2j 2tz

orbit :   0  2  3  1    n 0d_3/2
 
 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -126.177 3(   3) -111.157  15.020    0.1033
 0(   1) -126.177 3(   5) -104.892  21.285    0.0001
 0(   1) -126.177 3(   8) -103.374  22.803    0.0016
 0(   1) -126.177 3(  11) -102.993  23.184    0.0000
 0(   1) -126.177 3(  17) -101.480  24.697    0.0003
 0(   1) -126.177 3(  18) -101.047  25.130    0.0000
 0(   1) -126.177 3(  26) -100.142  26.035    0.0000
 0(   1) -126.177 3(  28)  -99.937  26.240    0.0002
 0(   1) -126.177 3(  33)  -99.535  26.642    0.0000
 0(   1) -126.177 3(  44)  -98.826  27.351    0.0000
 0(   1) -126.177 3(  46)  -98.687  27.490    0.0019
 0(   1) -126.177 3(  49)  -98.568  27.609    0.0011
 0(   1) -126.177 3(  53)  -98.384  27.793    0.0001
 0(   1) -126.177 3(  58)  -98.031  28.146    0.0000
 0(   1) -126.177 3(  64)  -97.764  28.413    0.0000
 0(   1) -126.177 3(  73)  -97.393  28.784    0.0004
 0(   1) -126.177 3(  76)  -97.121  29.055    0.0013
 0(   1) -126.177 3(  79)  -96.918  29.259    0.0005
 0(   1) -126.177 3(  81)  -96.821  29.355    0.0002
 0(   1) -126.177 3(  86)  -96.613  29.564    0.0001
 0(   1) -126.177 3(  92)  -96.376  29.801    0.0017
 0(   1) -126.177 3(  93)  -96.352  29.825    0.0002
 0(   1) -126.177 3( 101)  -95.993  30.184    0.0004
 0(   1) -126.177 3( 105)  -95.842  30.335    0.0000
 0(   1) -126.177 3( 107)  -95.766  30.411    0.0010
 0(   1) -126.177 3( 111)  -95.608  30.569    0.0008
 0(   1) -126.177 3( 116)  -95.520  30.657    0.0000
 0(   1) -126.177 3( 125)  -95.178  30.998    0.0004
 0(   1) -126.177 3( 132)  -95.006  31.171    0.0001
 0(   1) -126.177 3( 148)  -94.511  31.666    0.0003


         n  l 2j 2tz

orbit :   0  2  5  1    n 0d_5/2
 
 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -126.177 5(   1) -117.506   8.671    1.7130
 0(   1) -126.177 5(   6) -104.440  21.737    0.0001
 0(   1) -126.177 5(   9) -103.082  23.095    0.0133
 0(   1) -126.177 5(  12) -102.619  23.558    0.0034
 0(   1) -126.177 5(  15) -101.704  24.473    0.0039
 0(   1) -126.177 5(  19) -101.025  25.152    0.0025
 0(   1) -126.177 5(  25) -100.150  26.027    0.0009
 0(   1) -126.177 5(  29)  -99.889  26.288    0.0019
 0(   1) -126.177 5(  35)  -99.331  26.846    0.0001
 0(   1) -126.177 5(  37)  -99.253  26.924    0.0031
 0(   1) -126.177 5(  40)  -99.126  27.051    0.0015
 0(   1) -126.177 5(  47)  -98.624  27.552    0.0000
 0(   1) -126.177 5(  51)  -98.428  27.749    0.0001
 0(   1) -126.177 5(  57)  -98.054  28.123    0.0003
 0(   1) -126.177 5(  63)  -97.762  28.415    0.0000
 0(   1) -126.177 5(  65)  -97.732  28.445    0.0064
 0(   1) -126.177 5(  71)  -97.426  28.751    0.0009
 0(   1) -126.177 5(  74)  -97.326  28.850    0.0001
 0(   1) -126.177 5(  77)  -97.077  29.100    0.0001
 0(   1) -126.177 5(  84)  -96.728  29.449    0.0001
 0(   1) -126.177 5(  87)  -96.567  29.610    0.0000
 0(   1) -126.177 5(  90)  -96.460  29.717    0.0000
 0(   1) -126.177 5(  95)  -96.280  29.897    0.0005
 0(   1) -126.177 5(  98)  -96.081  30.095    0.0000
 0(   1) -126.177 5( 108)  -95.731  30.446    0.0045
 0(   1) -126.177 5( 109)  -95.631  30.546    0.0001
 0(   1) -126.177 5( 115)  -95.540  30.637    0.0005
 0(   1) -126.177 5( 117)  -95.477  30.700    0.0046
 0(   1) -126.177 5( 118)  -95.447  30.730    0.0013
 0(   1) -126.177 5( 122)  -95.295  30.882    0.0015
 0(   1) -126.177 5( 123)  -95.257  30.920    0.0002
 0(   1) -126.177 5( 135)  -94.858  31.318    0.0001
 0(   1) -126.177 5( 138)  -94.847  31.330    0.0011
 0(   1) -126.177 5( 139)  -94.797  31.380    0.0012
 0(   1) -126.177 5( 140)  -94.771  31.405    0.0009
 0(   1) -126.177 5( 143)  -94.661  31.515    0.0003
 0(   1) -126.177 5( 146)  -94.617  31.559    0.0000
 0(   1) -126.177 5( 150)  -94.431  31.746    0.0010


         n  l 2j 2tz

orbit :   1  0  1  1    n 1s_1/2
 
 S-factor parity  1  1
 2xJf      Ef      2xJi     Ei       Ex       C^2*S 
 0(   1) -126.177 1(   2) -116.627   9.550    0.1665
 0(   1) -126.177 1(   4) -105.228  20.949    0.0004
 0(   1) -126.177 1(  10) -103.048  23.129    0.0020
 0(   1) -126.177 1(  14) -101.761  24.416    0.0002
 0(   1) -126.177 1(  23) -100.381  25.796    0.0000
 0(   1) -126.177 1(  30)  -99.815  26.362    0.0001
 0(   1) -126.177 1(  38)  -99.215  26.962    0.0001
