run,entry,comment,,,,
155,582,true,,,,
155,730,,,,,
155,855,,,,,
155,1229,,,,,
155,1455,,,,,
155,1518,false,mistaken delta,,,
155,1591,,,,,
155,1724,,,,,
155,1780,false,spurious track with better quality,,,
155,1877,,,,,
155,2426,,,,,
155,3347,true,,,,
155,4165,,,,,
155,4196,,,,,
155,4299,,,,,
155,4757,,,,,
155,4822,,,,,
155,4873,,,,,
155,5139,,,,,
155,5386,true,,,,
155,6097,true,,,,
155,6644,,,,,
155,6669,,,,,
155,6872,,,,,
155,7575,,,,,
155,8081,,,,,
155,8197,,,,,
155,8756,,,,,
155,9005,,,,,
155,9378,,,,,
155,10275,,,,,
155,10776,,,,,
155,11040,false,RP before pad plane,,,
155,11204,,,,,
155,11447,true,small track at end. Should lower chi2 threshold,,,
155,11461,false,3body,,,
155,12460,true,small track at end. Should lower chi2 threshold,,,
155,13449,,,,,
155,13792,,,,,
155,13830,,,,,
155,13837,,,,,
155,14255,,,,,
155,14636,true,,,,
155,14888,true,,,,
155,15297,false,RP before pad plane,,,
155,15706,,,,,
155,15822,,,,,
155,15824,,,,,
155,16336,true,,,,
155,16862,,,,,
155,17009,,,,,
155,17403,,,,,
155,17453,,,,,
155,17663,,,,,
155,18805,,,,,
155,19083,,,,,
155,19359,,,,,
155,19383,true,,,,
155,19898,,,,,
155,20072,false,small track at end. Should lower chi2 threshold,,,
155,20221,true,,,,
155,20374,true,small track at end. Should lower chi2 threshold,,,
155,21102,,,,,
155,21689,true,,,,
155,21718,,,,,
155,21793,,,,,
155,21870,,,,,
155,22129,true,,,,
155,22730,,,,,
155,23207,,,,,
155,23444,,,,,
155,23850,,,,,
155,23937,,,,,
155,24027,true,,,,
155,24109,,,,,
155,24684,,,,,
155,25040,true,,,,
155,25333,true,,,,
155,25792,,,,,
155,27159,,,,,
155,27343,true,,,,
155,27927,,,,,
155,28372,,,,,
155,28467,,,,,
155,28496,true,,,,
155,28894,true,,,,
155,28962,,,,,
155,29245,true,small track at end. Should lower chi2 threshold,,,
155,29283,,,,,
155,29534,,,,,
155,29937,true,,,,
155,30626,,,,,
155,30867,true,,,,
155,31217,,,,,
155,31712,true,,,,
155,31820,,,,,
155,31850,,,,,
155,32054,true,,,,
155,32580,true,a,,,
155,32932,,,,Analysis,
155,32955,,,,Ok binary:,66
155,32956,,,,Not ok binary:,8
155,32974,true,,,Ratio:,"0,108108108108108"
155,33313,,,,,
155,34386,,,,,
155,34649,,,,,
155,35533,,,,,
155,35622,true,,,,
155,35786,,,,,
155,35839,,,,,
155,36388,,,,,
155,36667,,,,,
155,36783,true,,,,
156,34,,,,,
156,148,,,,,
156,368,,,,,
156,631,,,,,
156,837,,,,,
156,1131,,,,,
156,1531,,,,,
156,1764,,,,,
156,2054,,,,,
156,2327,,,,,
156,2969,,,,,
156,3068,,,,,
156,3447,true,,,,
156,5106,,,,,
156,5109,true,,,,
156,5324,,,,,
156,6593,true,,,,
156,6695,false,small track at end. Should lower chi2 threshold,,,
156,6774,,,,,
156,6789,,,,,
156,7110,,,,,
156,7231,true,,,,
156,7652,,,,,
156,7784,,,,,
156,7930,true,,,,
156,8319,,,,,
156,8742,false,small track at end. Should lower chi2 threshold,,,
156,9399,,,,,
156,10010,,,,,
156,10482,,,,,
156,10498,,,,,
156,10634,,,,,
156,10991,,,,,
156,11939,,,,,
156,11969,,,,,
156,12362,,,,,
156,13048,true,,,,
156,13337,true,small track at end. Should lower chi2 threshold,,,
156,13433,,,,,
156,13700,,,,,
156,14248,true,,,,
156,14431,,,,,
156,14931,,,,,
156,15404,,,,,
