run,entry,type,status
155,58,Other,False
155,222,Binary,True
155,295,Other,False
155,426,Binary,True
155,630,Binary,True
155,672,Other,False
155,803,Other,False
155,868,Other,False
155,933,Binary,True
155,1089,Binary,True
155,1114,Other,False
155,1236,Binary,True
155,1267,Other,False
155,1423,Other,False
155,1742,Binary,True
155,1776,Other,False
155,1875,Other,False
155,2092,Other,False
155,2232,Binary,True
155,2257,Other,False
155,2269,Other,False
155,2273,Other,False
155,2441,Other,False
155,2451,Binary,True
155,2460,Other,False
155,2531,Binary,True
155,2652,Binary,True
155,2721,Other,False
155,2755,Binary,True
155,2820,Binary,True
155,2838,Binary,True
155,2855,Other,False
155,3023,Other,False
155,3134,Other,False
155,3165,Other,False
155,3303,Binary,True
155,3366,Binary,True
155,3599,Binary,False
155,3813,Other,False
155,3923,Other,False
155,3927,Other,False
155,3997,Multi,True
155,4069,Other,False
155,4206,Binary,True
155,4238,Other,False
155,4323,Binary,True
155,4393,Other,False
155,4412,Other,False
155,4486,Other,False
155,4505,Other,False
155,4546,Other,False
155,4569,Other,False
155,4675,Binary,True
155,4683,Binary,True
155,4701,Binary,True
155,4857,Other,False
155,4926,Binary,True
155,4968,Other,False
155,5078,Other,False
155,5243,Binary,True
155,5249,Other,False
155,5358,Binary,True
155,5376,Binary,True
155,5416,Other,False
155,5440,Other,False
155,5463,Binary,False
155,5634,Binary,True
155,5664,Binary,True
155,5674,Binary,True
155,5856,Other,False
155,5869,Binary,True
155,5898,Other,False
155,5929,Binary,True
155,5948,Binary,True
155,5952,Binary,True
155,6037,Other,False
155,6105,Other,False
155,6206,Binary,True
155,6282,Binary,True
155,6357,Other,False
155,6667,Binary,False
155,6670,Other,False
155,7144,Other,True
155,7542,Binary,True
155,7718,Other,False
155,7816,Other,False
155,7837,Other,False
155,7874,Other,False
155,7972,Other,False
155,7994,Binary,True
155,8345,Other,False
155,8363,Other,False
155,8456,Binary,True
155,8501,Multi,True
155,8594,Binary,True
155,8673,Other,False
155,8821,Binary,True
155,8878,Other,False
155,8888,Binary,True
155,8937,Binary,True
155,9042,Other,False
155,9320,Other,False
155,9379,Binary,True
155,9479,Binary,True
155,9500,Other,False
155,9588,Other,False
155,9697,Binary,True
155,9955,Other,False
155,9959,Other,False
155,10070,Binary,True
155,10158,Binary,True
155,10253,Binary,True
155,10281,Other,False
155,10378,Other,False
155,10402,Other,False
155,10442,Other,False
155,10511,Other,False
155,10601,Binary,True
155,10633,Binary,True
155,10647,Other,False
155,10685,Binary,True
155,10731,Other,False
155,10843,Other,False
155,11056,Binary,True
155,11118,Binary,True
155,11156,Other,False
155,11200,Binary,True
155,11202,Binary,False
155,11213,Binary,True
155,11220,Other,False
155,11351,Binary,True
155,11500,Other,False
155,11550,Other,False
155,11622,Other,False
155,11658,Other,False
155,11690,Other,False
155,11782,Binary,True
155,11783,Other,False
155,11945,Binary,True
155,12102,Binary,True
155,12142,Binary,False
155,12156,Binary,True
155,12160,Other,False
155,12174,Binary,True
155,12357,Other,False
155,12492,Binary,True
155,12622,Other,False
155,12781,Other,False
155,12798,Binary,True
155,12817,Other,False
155,12898,Binary,True
155,13018,Other,False
155,13473,Other,False
155,13620,Other,False
155,13639,Other,False
155,13664,Other,False
155,13769,Binary,True
155,13835,Binary,True
155,13887,Other,False
155,13934,Other,False
155,14011,Binary,True
155,14303,Binary,True
155,14307,Other,False
155,14318,Other,False
155,14321,Binary,True
155,14413,Other,False
155,14516,Other,False
155,14891,Other,False
155,15005,Binary,False
155,15053,Binary,True
155,15110,Binary,True
155,15131,Binary,True
155,15136,Other,False
155,15229,Binary,True
155,15467,Other,False
155,15639,Other,False
155,15733,Other,False
155,15867,Other,False
155,15870,Other,False
155,16200,Binary,False
155,16233,Other,False
155,16313,Other,False
155,16732,Other,False
155,16792,Binary,False
155,16873,Other,False
155,16912,Other,False
155,17031,Binary,True
155,17057,Other,False
155,17142,Other,False
155,17275,Binary,True
155,17441,Binary,True
155,17512,Other,False
155,17572,Binary,True
155,17580,Other,False
155,17788,Binary,True
155,17797,Binary,True
155,17872,Other,False
155,18087,Other,False
155,18125,Other,False
155,18133,Binary,True
155,18205,Other,False
155,18208,Binary,True
155,18267,Binary,True
155,18268,Binary,True
155,18270,Binary,True
155,18511,Binary,True
155,18515,Other,False
155,18678,Other,False
155,18698,Other,False
155,18873,Other,False
155,18938,Other,False
155,19027,Binary,True
155,19120,Other,False
155,19179,Binary,True
155,19331,Other,False
155,19429,Other,False
155,19564,Binary,True
155,19608,Other,False
155,19839,Binary,True
155,19870,Other,False
155,19973,Other,False
155,19997,Other,False
155,20000,Other,False
155,20186,Binary,True
155,20223,Other,False
155,20252,Other,False
155,20353,Other,False
155,20360,Binary,True
155,20407,Other,False
155,20595,Binary,True
155,20654,Other,False
155,21002,Other,False
155,21089,Multi,False
155,21265,Binary,False
155,21639,Other,False
155,21781,Other,False
155,21960,Binary,True
155,21973,Binary,True
155,22036,Other,False
155,22055,Other,False
155,22270,Binary,True
155,22343,Other,False
155,22461,Binary,True
155,22518,Other,False
155,22597,Binary,True
155,22656,Other,False
155,22817,Other,False
155,22831,Other,False
155,22849,Binary,True
155,22908,Binary,True
155,22911,Other,False
155,22968,Binary,True
155,23138,Other,False
155,23166,Other,False
155,23177,Other,False
155,23337,Binary,True
155,23382,Other,False
155,23384,Other,False
155,23399,Other,False
155,23428,Other,False
155,23464,Other,False
155,23477,Other,False
155,23486,Other,False
155,23535,Other,False
155,23588,Binary,True
155,23613,Binary,True
155,23617,Other,False
155,23722,Other,False
155,23756,Binary,True
155,23959,Binary,True
155,23993,Other,False
155,24043,Other,False
155,24308,Other,False
155,24366,Other,False
155,24381,Binary,True
155,24422,Binary,True
155,24471,Other,False
155,24604,Other,False
155,24619,Other,False
155,24659,Binary,True
155,24694,Binary,True
155,24727,Binary,True
155,24797,Binary,True
155,24827,Other,False
155,24947,Other,False
155,25077,Other,False
155,25085,Other,False
155,25307,Binary,False
155,25537,Binary,True
155,25562,Other,False
155,25574,Binary,True
155,25578,Other,False
155,25735,Binary,False
155,25754,Other,False
155,25816,Binary,True
155,25836,Other,False
155,25886,Other,False
155,25941,Other,False
155,25949,Other,False
155,26010,Binary,True
155,26033,Other,False
155,26096,Binary,True
155,26145,Other,False
155,26165,Binary,True
155,26372,Other,False
155,26387,Binary,True
155,26400,Other,False
155,26409,Binary,True
155,26479,Binary,True
155,26527,Binary,True
155,26624,Other,False
155,26728,Binary,True
155,26807,Other,False
155,26810,Other,False
155,26983,Multi,True
155,27072,Other,False
155,27106,Other,False
155,27112,Other,False
155,27319,Other,False
155,27364,Multi,False
155,27484,Other,False
155,27508,Other,False
155,27566,Binary,True
155,27669,Other,False
