 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 12, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/11Li_900mb_CF4.txt

 Ion = Lithium [3] , Mass = 11.04372 amu

 Target Density =  4.4807E-04 g/cm3 = 4.9945E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.064E-03  1.225E-02  342.80 um   119.06 um    87.89 um  
  11.00 keV   9.506E-03  1.170E-02  381.46 um   129.95 um    97.07 um  
  12.00 keV   9.929E-03  1.121E-02  420.48 um   140.62 um   106.26 um  
  13.00 keV   1.033E-02  1.076E-02  459.80 um   151.06 um   115.44 um  
  14.00 keV   1.072E-02  1.036E-02  499.36 um   161.28 um   124.60 um  
  15.00 keV   1.110E-02  9.986E-03  539.09 um   171.26 um   133.72 um  
  16.00 keV   1.146E-02  9.645E-03  578.97 um   181.02 um   142.78 um  
  17.00 keV   1.182E-02  9.331E-03  618.94 um   190.56 um   151.78 um  
  18.00 keV   1.216E-02  9.040E-03  658.98 um   199.88 um   160.72 um  
  20.00 keV   1.282E-02  8.518E-03  739.16 um   217.94 um   178.39 um  
  22.50 keV   1.360E-02  7.957E-03  839.31 um   239.42 um   200.00 um  
  25.00 keV   1.436E-02  7.475E-03  939.02 um   259.69 um   221.02 um  
  27.50 keV   1.510E-02  7.057E-03    1.04 mm   278.81 um   241.43 um  
  30.00 keV   1.581E-02  6.690E-03    1.14 mm   296.87 um   261.21 um  
  32.50 keV   1.650E-02  6.364E-03    1.23 mm   313.94 um   280.36 um  
