 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 12, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/proton_900mb_CF4.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  4.4807E-04 g/cm3 = 4.9945E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.144E-02  2.734E-04  584.15 um   144.84 um   151.33 um  
  11.00 keV   2.248E-02  2.555E-04  625.48 um   148.44 um   156.84 um  
  12.00 keV   2.346E-02  2.401E-04  665.32 um   151.65 um   161.89 um  
  13.00 keV   2.437E-02  2.267E-04  703.87 um   154.54 um   166.53 um  
  14.00 keV   2.522E-02  2.148E-04  741.27 um   157.16 um   170.84 um  
  15.00 keV   2.602E-02  2.043E-04  777.67 um   159.55 um   174.85 um  
  16.00 keV   2.676E-02  1.949E-04  813.17 um   161.75 um   178.60 um  
  17.00 keV   2.746E-02  1.863E-04  847.86 um   163.79 um   182.14 um  
  18.00 keV   2.811E-02  1.786E-04  881.84 um   165.69 um   185.48 um  
  20.00 keV   2.931E-02  1.651E-04  947.92 um   169.23 um   191.65 um  
  22.50 keV   3.062E-02  1.511E-04    1.03 mm   173.18 um   198.60 um  
  25.00 keV   3.179E-02  1.395E-04    1.10 mm   176.64 um   204.86 um  
  27.50 keV   3.283E-02  1.297E-04    1.18 mm   179.72 um   210.56 um  
  30.00 keV   3.377E-02  1.213E-04    1.25 mm   182.50 um   215.82 um  
  32.50 keV   3.462E-02  1.141E-04    1.32 mm   185.03 um   220.70 um  
