 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 08, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/2H_silicon.txt

 Ion = Hydrogen [1] , Mass = 2.014 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.839E+01  1.930E+00    1550 A       639 A       588 A   
  11.00 keV   6.087E+01  1.827E+00    1680 A       663 A       618 A   
  12.00 keV   6.317E+01  1.735E+00    1808 A       686 A       646 A   
  13.00 keV   6.534E+01  1.654E+00    1933 A       707 A       673 A   
  14.00 keV   6.742E+01  1.581E+00    2056 A       726 A       698 A   
  15.00 keV   6.943E+01  1.516E+00    2177 A       744 A       721 A   
  16.00 keV   7.140E+01  1.456E+00    2295 A       761 A       744 A   
  17.00 keV   7.333E+01  1.401E+00    2412 A       777 A       766 A   
  18.00 keV   7.525E+01  1.351E+00    2526 A       792 A       786 A   
  20.00 keV   7.902E+01  1.262E+00    2750 A       819 A       825 A   
  22.50 keV   8.362E+01  1.169E+00    3018 A       850 A       869 A   
  25.00 keV   8.805E+01  1.089E+00    3276 A       876 A       909 A   
  27.50 keV   9.227E+01  1.021E+00    3524 A       900 A       945 A   
  30.00 keV   9.625E+01  9.623E-01    3764 A       921 A       978 A   
  32.50 keV   9.999E+01  9.105E-01    3996 A       940 A      1009 A   
  35.00 keV   1.035E+02  8.646E-01    4221 A       958 A      1038 A   
  37.50 keV   1.067E+02  8.237E-01    4441 A       974 A      1064 A   
  40.00 keV   1.097E+02  7.869E-01    4655 A       988 A      1090 A   
