 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 16, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/TRIUNF/11Li(d,p)/SRIM files/3H_900mb_CF4_90-10.txt

 Ion = Hydrogen [1] , Mass = 3.016 amu

 Target Density =  4.4807E-04 g/cm3 = 4.9946E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    078.26    017.09   
      C      6    004.35    011.32   
      F      9    017.39    071.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.220E-02  7.615E-04  829.94 um   220.93 um   223.63 um  
  11.00 keV   1.281E-02  7.132E-04  897.19 um   229.33 um   235.10 um  
  12.00 keV   1.339E-02  6.714E-04  962.34 um   236.90 um   245.71 um  
  13.00 keV   1.395E-02  6.347E-04    1.03 mm   243.77 um   255.56 um  
  14.00 keV   1.449E-02  6.023E-04    1.09 mm   250.05 um   264.74 um  
  15.00 keV   1.502E-02  5.734E-04    1.15 mm   255.80 um   273.34 um  
  16.00 keV   1.553E-02  5.475E-04    1.20 mm   261.09 um   281.41 um  
  17.00 keV   1.602E-02  5.240E-04    1.26 mm   265.99 um   289.00 um  
  18.00 keV   1.650E-02  5.027E-04    1.32 mm   270.54 um   296.18 um  
  20.00 keV   1.743E-02  4.655E-04    1.42 mm   278.91 um   309.40 um  
  22.50 keV   1.853E-02  4.267E-04    1.55 mm   288.04 um   324.16 um  
  25.00 keV   1.956E-02  3.945E-04    1.67 mm   295.92 um   337.30 um  
  27.50 keV   2.054E-02  3.673E-04    1.79 mm   302.82 um   349.12 um  
  30.00 keV   2.147E-02  3.439E-04    1.90 mm   308.92 um   359.84 um  
  32.50 keV   2.234E-02  3.236E-04    2.01 mm   314.37 um   369.63 um  
